Question,Options,Correct Answer Index,Question Type,Option Type,Question Image URL,Question Audio URL,Question Video URL,Explanation
Select the correct use of the phrase 'Break a leg' in a sentence.,"He decided to break a leg before the match.|She was so angry, she was ready to break a leg.|Wishing her luck in the performance, he told her to break a leg.|He told his friend to break a leg if he wanted to win the race.",2,text_only,text_only,,,,"'Break a leg' is an idiom used in the context of wishing someone good luck, particularly before a performance. It is not meant to be taken literally, so option 3 is the correct usage."
Identify the sentence where the apostrophe is used incorrectly.,It's going to rain later.|John's car is parked outside.|The dogs' bowls were filled with food.|Its a beautiful day outside.,3,text_only,text_only,,,,"In option 3, 'Its' is a possessive pronoun and does not require an apostrophe. The correct form should be 'It's' which is a contraction of 'it is' or 'it has'."
Choose the correct antonym for the word 'benevolent'.,Kind|Generous|Malevolent|Compassionate,2,text_only,text_only,,,,"The word 'benevolent' means well-meaning and kind. The correct antonym would be 'malevolent', which means having or showing a wish to do evil to others."
Rearrange the jumbled sentence: 'beach / the / family / to / went / the',"The family to the went beach.|The beach went to the family.|The family went to the beach.|To the beach, the family went.",2,text_only,text_only,,,,"When the phrases are arranged correctly, the sentence 'The family went to the beach.' is formed. This sentence is grammatically correct and makes logical sense."
Identify the error in the following sentence: 'She don't like to go to the cinema on weekends.','She' should be 'He'|'don't' should be 'doesn't'|'to go' should be 'going'|There is no error,1,text_only,text_only,,,,"The error in the sentence is in the subject-verb agreement. With 'she' as the subject, the correct form of the verb to use is 'doesn't', not 'don't'. Therefore, the correct sentence should be 'She doesn't like to go to the cinema on weekends.'"
Choose the correct form of the verb in the following sentence: 'John ___ (to run) every morning.',runs|run|is running|running,0,text_only,text_only,,,,"The correct form of the verb 'to run' to use with 'John' as the subject in this sentence in the present simple tense is 'runs'. Therefore, the correct sentence should be 'John runs every morning.'"
Choose the correct preposition to fill in the blank: 'She has been working here ___ 5 years.',since|for|from|during,1,text_only,text_only,,,,"The correct preposition to use with a period of time in this context is 'for'. Therefore, the correct sentence should be 'She has been working here for 5 years.'"
What is the synonym of the word 'elated'?,Sad|Angry|Joyful|Bored,2,text_only,text_only,,,,"The word 'elated' means very happy or proud, so the correct synonym is 'joyful'."
Identify the sentence pattern in the following sentence: 'She gave her friend a gift.',Subject + Verb + Object|Subject + Verb + Indirect Object + Direct Object|Subject + Verb + Complement|Subject + Verb,1,text_only,text_only,,,,"The sentence 'She gave her friend a gift.' has a subject (She), a verb (gave), an indirect object (her friend), and a direct object (a gift). Therefore, the correct sentence pattern is Subject + Verb + Indirect Object + Direct Object."
"Read the following passage and answer the question. 'John had always loved quiet beaches with their sandy, windy landscapes. He would often travel miles just to visit a solitary beach. The calmness of the sea, the chirping of the seagulls and the rustling of the palm trees - this was his idea of a perfect getaway.' What does the word 'solitary' mean in this context?",Crowded|Lonely|Dirty|Rocky,1,text_only,text_only,,,,"In this context, 'solitary' refers to something that is alone or lonely. Here, it is used to describe a quiet, deserted beach that John prefers to visit. The rest of the options do not fit the context of the sentence. 'Crowded' means full of people, 'Dirty' means not clean, and 'Rocky' refers to having a lot of rocks, which doesn't match with the description of the beach having sandy landscapes."
