Question,Options,Correct Answer Index,Question Type,Option Type,Question Image URL,Question Audio URL,Question Video URL,Explanation
Who was the first woman to receive the Padma Shri award in the field of mountaineering?,Santosh Yadav|Arunima Sinha|Bachendri Pal|Premlata Agarwal,0,text_only,text_only,,,,"Santosh Yadav is the first woman to receive the Padma Shri award in the field of mountaineering. She received the award in 2000 for her exceptional and distinguished service in the field of mountaineering. She is also the first woman in the world to climb Mount Everest twice, and she achieved this feat in successive years (1992 and 1993)."
Which Indian state has the highest number of rivers?,West Bengal|Kerala|Assam|Uttar Pradesh,1,text_only,text_only,,,,"Kerala has the highest number of rivers compared to any other Indian state. There are 44 rivers in Kerala, 41 of which flow westward and the rest towards the east. These rivers play a crucial role in the state's ecosystem and economy."
Which is the capital city of Australia?,Sydney|Melbourne|Perth|Canberra,3,text_only,text_only,,,,"Canberra is the capital city of Australia. While Sydney and Melbourne are the largest and second largest cities respectively, the capital was established in Canberra to avoid rivalry between the two major cities."
Who is the current president of India (as of 2021)?,Pranab Mukherjee|Ram Nath Kovind|Pratibha Patil|A.P.J. Abdul Kalam,1,text_only,text_only,,,,"As of 2021, the current president of India is Ram Nath Kovind. He took office on July 25, 2017, succeeding Pranab Mukherjee."
What is the currency of Japan?,Yuan|Yen|Won|Ringgit,1,text_only,text_only,,,,The currency of Japan is the Yen. It is the third most traded currency in the foreign exchange market after the United States dollar and the euro.
Who was the recipient of the Padma Shri in the field of Sports in 2020?,Mary Kom|PV Sindhu|Sania Mirza|Rani Rampal,3,text_only,text_only,,,,"Rani Rampal, the captain of the Indian women's hockey team, was awarded the Padma Shri in 2020. She is the first-ever hockey player to win the World Games Athlete of the Year award."
Which of the following rivers is the longest in India?,Ganga|Yamuna|Brahmaputra|Godavari,0,text_only,text_only,,,,"The Ganga, also known as Ganges, is the longest river in India with a length of over 2,525 km. It originates from the Gangotri Glacier in Uttarakhand and flows through several states before merging with the Bay of Bengal."
What is the capital city of the Indian state of Sikkim?,Dispur|Gangtok|Imphal|Itanagar,1,text_only,text_only,,,,"Gangtok is the capital of the Indian state of Sikkim. It is located in the eastern Himalayan range, at an elevation of 1,650 m."
Who was the President of India in the year 2000?,Dr. A.P.J Abdul Kalam|Pranab Mukherjee|Dr. Shankar Dayal Sharma|K.R. Narayanan,3,text_only,text_only,,,,"K.R. Narayanan served as the President of India from 1997 to 2002. Hence, he was the President in the year 2000."
Which country has the highest GDP in the world as of 2021?,China|United States|Japan|Germany,1,text_only,text_only,,,,"As of 2021, the United States has the highest Gross Domestic Product (GDP) in the world."
